Ch;Frequency;Dup;Offset;TS;Mode;Name;SKIP;TONE;Repeater Tone;TSQL Frequency;DTCS Code;DTCS Polarity;DV SQL;DV CSQL Code;Your Call Sign;RPT1 Call Sign;RPT2 Call Sign
0;437,412500;DUP-;7,000000;25kHz;FM;Rally U1;SKIP;TONE;136,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;437,887500;DUP-;7,000000;25kHz;FM;Rally U2;SKIP;TONE;136,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;437,937500;DUP-;7,300000;25kHz;FM;Rally U3;SKIP;TONE;136,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;163,900000;DUP-;4,600000;25kHz;FM;Rally C1 TSQ;SKIP;OFF;136,5Hz;136,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;163,925000;DUP-;4,600000;25kHz;FM;Rally C2 TSQ;SKIP;OFF;136,5Hz;136,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;163,950000;DUP-;4,600000;25kHz;FM;Rally C3 TSQ;SKIP;OFF;136,5Hz;136,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;163,975000;DUP-;4,600000;25kHz;FM;Rally C4 TSQ;SKIP;OFF;136,5Hz;136,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;437,412500;DUP-;7,000000;25kHz;FM;Rally U1 TSQ;SKIP;OFF;136,5Hz;136,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;437,887500;DUP-;7,000000;25kHz;FM;Rally U2 TSQ;SKIP;OFF;136,5Hz;136,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;437,937500;DUP-;7,300000;25kHz;FM;Rally U3 TSQ;SKIP;OFF;136,5Hz;136,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;;;;;;;;;;;;;;;;;
0;119,400000;OFF;0,000000;8,33kHz;AM;Orlando APP1;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;136,525000;OFF;0,000000;8,33kHz;AM;Londra WTH2;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;135,383333;OFF;0,000000;8,33kHz;AM;Londra WTH;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;120,725000;OFF;0,000000;8,33kHz;AM;Padova AIR;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;124,150000;OFF;0,000000;8,33kHz;AM;PADOVA TWR;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;119,650000;OFF;0,000000;8,33kHz;AM;AEROP TN;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;128,650000;OFF;0,000000;8,33kHz;AM;SJU APPR;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;120,900000;OFF;0,000000;8,33kHz;AM;SJU DEP N/E;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;119,400000;OFF;0,000000;8,33kHz;AM;SJU DEP W/S;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;121,900000;OFF;0,000000;8,33kHz;AM;SJU GND;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;132,050000;OFF;0,000000;8,33kHz;AM;SJU TWR;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;119,400000;OFF;0,000000;8,33kHz;AM;Montich TWR1;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;124,130000;OFF;0,000000;8,33kHz;AM;METEO VR;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;118,880000;OFF;0,000000;8,33kHz;AM;Verona APP1;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;118,650000;OFF;0,000000;8,33kHz;AM;Villafranca TWR;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;125,250000;OFF;0,000000;8,33kHz;AM;Boscomantico;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;124,250000;OFF;0,000000;8,33kHz;AM;Verona APP2;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;135,900000;OFF;0,000000;8,33kHz;AM;Verona APP3;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;118,550000;OFF;0,000000;8,33kHz;AM;Verona Radar 1;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;124,250000;OFF;0,000000;8,33kHz;AM;Verona Radar 2;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;135,900000;OFF;0,000000;8,33kHz;AM;Verona Radar 3;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;121,750000;OFF;0,000000;8,33kHz;AM;Villafranca GND;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;121,500000;OFF;0,000000;8,33kHz;AM;AIR Emergenza;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;124,450000;OFF;0,000000;8,33kHz;AM;Garda Ctrl 2;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;124,850000;OFF;0,000000;8,33kHz;AM;Garda Ctrl 3;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;122,100000;OFF;0,000000;8,33kHz;AM;Montich TWR2;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;120,200000;OFF;0,000000;8,33kHz;AM;Venezia TWR;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;122,225000;OFF;0,000000;8,33kHz;AM;Venezia ATIS;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;118,900000;OFF;0,000000;8,33kHz;AM;Venezia APP;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;118,500000;OFF;0,000000;8,33kHz;AM;Heatrow TWR1;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;118,700000;OFF;0,000000;8,33kHz;AM;Heatrow TWR2;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;124,470000;OFF;0,000000;8,33kHz;AM;Heatrow TWR3;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;118,450000;OFF;0,000000;25kHz;AM;Orlando TWR1;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;124,300000;OFF;0,000000;25kHz;AM;Orlando TWR2;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;118,250000;OFF;0,000000;8,33kHz;AM;Venezia TWR2;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;;;;;;;;;;;;;;;;;
0;145,110000;DUP-;0,600000;25kHz;FM;KP4QD;OFF;TONE;136,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,130000;DUP-;0,600000;25kHz;FM;WP4MXB;OFF;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,150000;DUP-;0,600000;25kHz;FM;KP4AMV;OFF;TONE;136,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,170000;DUP-;0,600000;25kHz;FM;KP4KJI;OFF;TONE;114,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,190000;DUP-;0,600000;25kHz;FM;KP3AB;OFF;TONE;100,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,190000;DUP-;0,600000;25kHz;FM;KP3AB;OFF;TONE;136,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,230000;DUP-;0,600000;25kHz;FM;WP4OCD;OFF;TONE;77,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,250000;DUP-;0,600000;25kHz;FM;WP3CB;OFF;TONE;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,270000;DUP-;0,600000;25kHz;FM;WP3ZQ;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,290000;DUP-;0,600000;25kHz;FM;NP4A;OFF;TONE;136,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,350000;DUP-;0,600000;25kHz;FM;KP3AB;OFF;TONE;123,0Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,370000;DUP-;0,600000;25kHz;FM;KP4IA;OFF;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,390000;DUP-;0,600000;25kHz;FM;KP4OPG;OFF;TONE;94,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,410000;DUP-;0,600000;25kHz;FM;KP4RF;OFF;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,450000;DUP-;0,600000;25kHz;FM;KP4RF;OFF;TONE;127,3Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;145,490000;DUP-;0,600000;25kHz;FM;KP4LP;OFF;TONE;82,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;449,225000;DUP-;5,000000;25kHz;FM;KP4LDR;OFF;TONE;192,8Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;IU2FRL B;IU2FRL G
0;;;;;;;;;;;;;;;;;
0;162,550000;OFF;0,600000;25kHz;FM;NOAA 1;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;162,400000;OFF;0,600000;25kHz;FM;NOAA 2;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;162,475000;OFF;0,600000;25kHz;FM;NOAA 3;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;162,425000;OFF;0,600000;25kHz;FM;NOAA 4;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;162,450000;OFF;0,600000;25kHz;FM;NOAA 5;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;162,500000;OFF;0,600000;25kHz;FM;NOAA 6;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;162,525000;OFF;0,600000;25kHz;FM;NOAA 7;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;;;;;;;;;;;;;;;;;
0;433,075000;OFF;7,600000;25kHz;FM;LPD-01;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,100000;OFF;7,600000;25kHz;FM;LPD-02;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,125000;OFF;7,600000;25kHz;FM;LPD-03;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,150000;OFF;7,600000;25kHz;FM;LPD-04;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,175000;OFF;7,600000;25kHz;FM;LPD-05;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,200000;OFF;7,600000;25kHz;FM;LPD-06;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,225000;OFF;7,600000;25kHz;FM;LPD-07;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,250000;OFF;7,600000;25kHz;FM;LPD-08;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,275000;OFF;7,600000;25kHz;FM;LPD-09;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,300000;OFF;7,600000;25kHz;FM;LPD-10;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,325000;OFF;7,600000;25kHz;FM;LPD-11;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,350000;OFF;7,600000;25kHz;FM;LPD-12;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,375000;OFF;7,600000;25kHz;FM;LPD-13;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,400000;OFF;7,600000;25kHz;FM;LPD-14;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,425000;OFF;7,600000;25kHz;FM;LPD-15;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,450000;OFF;7,600000;25kHz;FM;LPD-16;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,475000;OFF;7,600000;25kHz;FM;LPD-17;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,500000;OFF;7,600000;25kHz;FM;LPD-18;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,525000;OFF;7,600000;25kHz;FM;LPD-19;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,550000;OFF;7,600000;25kHz;FM;LPD-20;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,575000;OFF;7,600000;25kHz;FM;LPD-21;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,600000;OFF;7,600000;25kHz;FM;LPD-22;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,625000;OFF;7,600000;25kHz;FM;LPD-23;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,650000;OFF;7,600000;25kHz;FM;LPD-24;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,675000;OFF;7,600000;25kHz;FM;LPD-25;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,700000;OFF;7,600000;25kHz;FM;LPD-26;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,725000;OFF;7,600000;25kHz;FM;LPD-27;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,750000;OFF;7,600000;25kHz;FM;LPD-28;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,775000;OFF;7,600000;25kHz;FM;LPD-29;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,800000;OFF;7,600000;25kHz;FM;LPD-30;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,825000;OFF;7,600000;25kHz;FM;LPD-31;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,850000;OFF;7,600000;25kHz;FM;LPD-32;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
0;433,875000;OFF;7,600000;25kHz;FM;LPD-33;OFF;OFF;88,5Hz;88,5Hz;023;BOTH N;OFF;0;CQCQCQ;;
